开始时间,结束时间,字幕内容,字幕颜色
0:10:19.14,0:10:20.79,they should shoulder it for their master.,
0:10:21.13,0:10:23.40,Wouldn’t there still be a day where the truth is revealed?,
0:10:24.21,0:10:25.86,If she couldn’t even bear a little grievance,,
0:10:26.28,0:10:28.29,she’ll become trouble down the line!,
0:10:29.35,0:10:31.72,Ending her life over her own misconceptions,,
0:10:31.72,0:10:33.91,have she ever considered what kind of position that puts you in?,
0:10:35.57,0:10:37.56,How fortunate that you have Emperor Father’s love,,
0:10:37.87,0:10:39.95,and that she was a servant born in the original estate,,
0:10:40.28,0:10:41.70,or this could have caused a storm.,
0:10:42.92,0:10:45.11,Do you know… If you were a Prince,,
0:10:45.67,0:10:48.60,if those nefarious ones seized upon a minor issue like this,,
0:10:49.12,0:10:51.50,you could be doomed forever!,
0:10:53.06,0:10:54.40,Nangong Jingnu: I…,#FF7D40
0:10:54.98,0:10:56.34,Nangong Shunu: Thank you for the pointers,,
0:10:56.63,0:10:57.48,da-jie, I understand now.,
0:10:59.22,0:11:00.38,Nangong Sunu: Xiao-mei,,
0:11:01.07,0:11:02.43,because of Chuntao’s death,,
0:11:02.98,0:11:04.94,you’ve been avoiding your Fuma with or without the intention to.,
0:11:05.57,0:11:07.36,Do you really think he can’t tell?,
0:11:08.55,0:11:11.15,Have you ever wondered if he might feel upset,,
0:11:11.58,0:11:13.50,or what he feels?,
0:11:14.94,0:11:16.12,When it comes down to it,,
0:11:16.34,0:11:18.05,it isn’t easy for him either.,
0:11:18.80,0:11:20.56,Brother-in-law isn’t like your big brother-in-law.,
0:11:21.05,0:11:22.82,No matter how you put it, he is a General,
0:11:22.82,0:11:24.01,who succeeded a legacy of defending the borders.,
0:11:25.01,0:11:27.03,For Fumas in the capital city,,
0:11:27.30,0:11:29.33,all of their honor and glory come from the Princess.,
0:11:30.10,0:11:33.14,Now, you are distancing yourself from him over a servant girl.,
0:11:33.40,0:11:37.03,Could it be that you think he was the one behind Chuntao’s death?,
0:11:37.72,0:11:39.35,Nangong Jingnu: I don’t,,#FF7D40
0:11:39.49,0:11:41.05,why would I think that?,#FF7D40
0:11:41.88,0:11:44.46,I, it’s just that whenever I see him,,#FF7D40
0:11:45.07,0:11:46.26,I’d feel bad inside.,#FF7D40
0:11:47.05,0:11:48.76,I want to have a little more time.,#FF7D40
0:11:49.53,0:11:51.62,Nangong Sunu: As imperial descendants,,
0:11:51.62,0:11:53.61,how we live is a whole subject in itself.,
0:11:54.46,0:11:56.26,Just take the treatment towards a Fuma as an example.,
0:11:56.61,0:11:59.63,Finding the right balance alone is enough to take you both a few years to learn.,
0:12:00.89,0:12:03.52,The clever ones will find it within a couple of years,,
0:12:03.95,0:12:06.30,while the foolish ones will never learn it in their lifetime.,
0:12:07.09,0:12:09.12,There are so many Princesses throughout history.,
0:12:09.39,0:12:12.10,Why were some in loving and harmonious marriages,,
0:12:12.43,0:12:15.17,while others were united in appearances but divided at heart?,
